#Please keep tags sorted on alphabetical use when you add/remove country tags

EUR = "countries/Europeanunion.txt"

#Early European Countries
ALM	= "countries/Alemanni.txt"
ANL	= "countries/Angles.txt"
BRO	= "countries/Broerec.txt"
CRS	= "countries/Cherusci.txt"
DAC	= "countries/Dacia.txt"
EAL	= "countries/EuropeanAlans.txt"
FRE	= "countries/EastFrancia.txt"
FRK	= "countries/Frankia.txt"
FRM	= "countries/MiddleFrancia.txt"
FRS	= "countries/Frisia.txt"
FRW	= "countries/WestFrancia.txt"
GCR	= "countries/CrimeanGoths.txt"
GEP	= "countries/Gepids.txt"
GLL	= "countries/Gallia.txt"
GOS	= "countries/Ostrogoths.txt"
GVI	= "countries/Visigoths.txt"
HER	= "countries/Heruli.txt"
HNS	= "countries/Huns.txt"
HRM	= "countries/Hermunduri.txt"
MRM	= "countries/Marcomanni.txt"
OBO	= "countries/Obotrites.txt"
ODO	= "countries/Odoacer.txt"
ODR	= "countries/Odrysia.txt"
QUA	= "countries/Quadi.txt"
ROM	= "countries/Rome.txt"
ROW	= "countries/WestRome.txt"
RUG	= "countries/Rugii.txt"
SAZ	= "countries/Samo.txt"
SOI	= "countries/Soissons.txt"
VAN	= "countries/Vandals.txt"
VNE	= "countries/Venedi.txt"
VNS	= "countries/Vannes.txt"

#Scandinavia
AGD	= "countries/Agder.txt"
GEE	= "countries/EastGeates.txt"
GEW	= "countries/WestGeates.txt"
HAL	= "countries/Halogaland.txt"
ICE	= "countries/Iceland.txt"
JMT	= "countries/Jamtaland.txt"
JUT	= "countries/Jutes.txt"
KKS	= "countries/Kakisalmians.txt"
SVE	= "countries/Svealand.txt"
TAV	= "countries/Tavastians.txt"
VES	= "countries/Vestfold.txt"

#Balkans
AVR	= "countries/Avars.txt"
BHE	= "countries/BosniaHerzegovina.txt"
CRR	= "countries/EmirateOfCrete.txt"
DOC	= "countries/Doclea.txt"
KOS	= "countries/Kosovo.txt"
LAT	= "countries/LatinEmpire.txt"
MAC	= "countries/Macedonia.txt"
MVA	= "countries/Moldova.txt"
NEO	= "countries/Neopatria.txt"
PNN	= "countries/Pannonia.txt"
SLO	= "countries/Slovenia.txt"
SMN	= "countries/SerbiaMontenegro.txt"
THS	= "countries/Thessalonica.txt"
YUG	= "countries/Yugoslavia.txt"

#British Isles 
BRG	= "countries/Brigantes.txt"
BRN	= "countries/Bernicia.txt"
CRL	= "countries/Corieltauvi.txt"
CRV	= "countries/Cornovii.txt"
CTV	= "countries/Catuvellauni.txt"
DEH	= "countries/Deheubarth.txt"
DEI	= "countries/Deira.txt"
DUM	= "countries/Dumnonia.txt"
DYF	= "countries/Dyfed.txt"
EAN	= "countries/EastAnglia.txt"
ELM	= "countries/Elmet.txt"
ERG	= "countries/Ergyng.txt"
ESX	= "countries/Essex.txt"
GOD	= "countries/Gododdin.txt"
GWY	= "countries/Gwynedd.txt"
ICN	= "countries/Iceni.txt"
KEN	= "countries/Kent.txt"
LIN	= "countries/Lindsey.txt"
MRC	= "countries/Mercia.txt"
PCT	= "countries/Picts.txt"
RBR	= "countries/Britannia.txt"
RHE	= "countries/Rheged.txt"
SLR	= "countries/Silures.txt"
STR	= "countries/Strathclyde.txt"
ULA	= "countries/Ulaid.txt"
WSX	= "countries/Wessex.txt"

#Colonies
ANB	= "countries/AntiguaBarbuda.txt"
BBD	= "countries/Barbados.txt"
BHM	= "countries/Bahama.txt"
BLZ	= "countries/Belize.txt"
BOL	= "countries/Bolivia.txt"
BUA	= "countries/BuenosAires.txt"
CLF	= "countries/California.txt"
COS	= "countries/CostaRica.txt"
CSA	= "countries/CSA.txt"
CUB	= "countries/Cuba.txt"
DMN	= "countries/Dominica.txt"
DOM	= "countries/DominicanRepublic.txt"
ECU	= "countries/Ecuador.txt"
ELS	= "countries/ElSalvador.txt"
GRN	= "countries/Grenada.txt"
GTM	= "countries/Guatemala.txt"
GYA	= "countries/Guyana.txt"
HON	= "countries/Honduras.txt"
JMC	= "countries/Jamaica.txt"
NCR	= "countries/Nicaragua.txt"
PNM	= "countries/Panama.txt"
SKN	= "countries/StKittsNevis.txt"
SLU	= "countries/StLucia.txt"
SRN	= "countries/Suriname.txt"
SVG	= "countries/StVincentGrenadines.txt"
TEX	= "countries/Texas.txt"
TRN	= "countries/TrinidadTobago.txt"
URU	= "countries/Uruguay.txt"
		
#Eastern Europe
CUR	= "countries/Curonia.txt"
CZE	= "countries/CzechRepublic.txt"
CZS	= "countries/Czechoslovakia.txt"
LTG	= "countries/Latgalia.txt"
LTV	= "countries/Latvia.txt"
MML	= "countries/Memelland.txt"
MRV	= "countries/Moravia.txt"
NIT	= "countries/Nitra.txt"
PRS	= "countries/Prussians.txt"
SNZ	= "countries/Sandomierz.txt"
SOR	= "countries/Sorbia.txt"
SVK	= "countries/Slovakia.txt"
VEL	= "countries/Veleti.txt"
		
#France 
ANJ	= "countries/Anjou.txt"
AQT	= "countries/Aquitaine.txt"
FR2	= "countries/ModernFrance.txt"
FRV	= "countries/VichyFrance.txt"
LYO	= "countries/Lyon.txt"
MNE	= "countries/Maine.txt"
	
#Germany
BAM	= "countries/Bamberg.txt"
BAU	= "countries/Bautzen.txt"
CAR	= "countries/Carinthia.txt"
EGE	= "countries/EastGermany.txt"
FRC	= "countries/Franconia.txt"
LOT	= "countries/Lotharingia.txt"
LUS	= "countries/Lusatia.txt"
OET	= "countries/Oettingen.txt"
OSN	= "countries/Osnabruck.txt"
RAT	= "countries/Ratibor.txt"
SDG	= "countries/Sundgau.txt"
SWA	= "countries/Swabia.txt"
TNT	= "countries/Trent.txt"
WGE	= "countries/WestGermany.txt"
	
#Spain
